CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"2,568",8,29,-,"4,120.85",60.60,65,"4,115.35","4,142.70",65,"19,000.00",195,5.10,5.40,390,-0.55,5.40,50.88,"43,156","4,154","88,647",
,"1,244",-104,313,-,"3,148.45",131.10,195,"3,130.95","3,151.25",65,"20,000.00",195,13.10,13.20,585,-4.80,13.10,44.37,"60,410","4,679","80,474",
,-,-,-,-,-,-,-,-,-,-,"20,850.00",65,21.50,22.90,650,-8.00,22.50,36.88,"13,971","4,026","5,541",
,-,-,-,-,-,-,-,-,"2,327.90",780,"20,900.00",975,22.40,25.30,65,4.10,24.15,36.69,"5,081","1,198","1,201",
,3,-,-,-,"2,537.65",4.20,780,"1,749.75","2,368.75",780,"20,950.00",195,24.65,25.75,260,-7.90,25.15,36.28,"8,220",167,"5,295",
,"5,553",23,724,-,"2,168.05",101.25,65,"2,154.45","2,170.90",65,"21,000.00",325,26.40,26.50,520,-10.30,26.50,35.96,"69,858","2,730","56,579",
,2,-,-,-,"2,101.85",4.40,"1,755","1,662.25","2,726.75",780,"21,050.00",130,27.70,28.40,195,-10.35,27.95,35.64,"2,664",315,751,
,2,-,-,-,"2,422.45",-,780,"1,605.90","2,366.60",780,"21,100.00",195,28.75,29.65,195,-11.50,29.35,35.28,"2,982",42,680,
,2,-,-,-,"2,005.80",4.40,780,"1,609.45","2,517.40",780,"21,150.00",390,29.50,31.35,390,-11.00,30.90,34.95,"3,776",-769,681,
,2,-,-,-,"2,296.30",0.30,780,"1,520.65","2,194.85",65,"21,200.00",195,31.45,32.75,325,-10.75,32.75,34.66,"6,359",187,"2,107",
,20,-,-,-,"1,909.20",6.45,780,"1,522.70","2,478.35",325,"21,250.00",195,33.40,35.45,65,-13.45,34.05,34.22,"1,370",49,462,
,3,-,-,-,"2,218.00",3.90,780,"1,443.80","2,048.85",65,"21,300.00",325,35.05,36.55,260,-14.40,35.20,33.74,"7,666",522,"1,636",
,1,-,-,-,"1,808.50",3.85,"1,755","1,412.80",-,-,"21,350.00",195,37.15,38.75,195,-13.50,38.50,33.69,"2,237",188,499,
,2,-,-,-,"1,767.00",4.15,"1,755","1,330.75",-,-,"21,400.00","1,85,770",20.65,-,-,-,-,-,-,-,-,
,4,-,-,-,"1,718.20",5.80,"1,755","1,299.90",-,-,"21,450.00",195,41.75,43.00,65,-14.20,42.25,32.91,"1,956",195,973,
,824,-105,216,-,"1,662.65",49.00,65,"1,641.95","1,712.20",65,"21,500.00","1,755",44.90,45.00,325,-14.40,44.50,32.55,"71,670","6,649","33,204",
,6,-,-,-,"1,631.60",5.25,"1,755","1,186.00",-,-,"21,550.00","1,66,595",21.40,-,-,-,-,-,-,-,-,
,3,-,-,-,"1,691.85",-,780,"1,130.95",-,-,"21,600.00","2,42,905",21.80,-,-,-,-,-,-,-,-,
,7,-,-,-,"1,536.65",4.85,780,"1,105.25",-,-,"21,650.00","1,73,875",22.30,-,-,-,-,-,-,-,-,
,5,-,-,-,"1,647.85",-,780,"1,089.65",-,-,"21,700.00","5,15,450",22.95,-,-,21.70,22.95,25.25,119,119,119,
,7,-,-,-,"1,446.60",4.55,780,"1,089.15","1,810.30",780,"21,750.00",65,60.05,61.20,65,-18.30,60.70,31.18,"9,174",182,"3,394",
,5,-,-,-,"1,380.00",-8.55,780,"1,059.70","1,452.20",780,"21,800.00",65,64.05,65.00,"1,040",-18.45,65.00,30.97,"27,064","1,503","4,445",
,5,-,-,-,"1,251.35",-,780,898.30,-,-,"21,850.00","2,69,100",25.90,-,-,-,-,-,-,-,-,
,6,-,-,-,"1,260.15",11.65,780,958.60,"1,326.60",130,"21,900.00",65,72.80,74.00,"1,755",-22.10,72.80,30.31,"19,037",213,"2,852",
,7,-,2,-,"1,203.65",-57.90,"1,755",910.90,"1,676.30",65,"21,950.00",65,76.95,80.05,195,-21.80,79.30,30.26,"3,855",-88,"1,642",
,"10,957",280,"2,308",24.85,"1,219.80",72.10,65,"1,218.00","1,231.40",65,"22,000.00",65,83.00,84.00,"1,560",-23.05,83.95,29.93,"1,46,620","-4,843","74,557",
,10,-,-,-,"1,168.30",1.50,780,856.80,"1,631.95",780,"22,050.00",65,89.00,90.60,195,-24.15,89.85,29.71,"5,053",-75,"1,287",
,9,-,2,35.37,"1,230.00",98.80,"1,755",815.65,"1,269.40",780,"22,100.00",260,93.85,96.70,260,-23.95,96.75,29.56,"17,500",41,"2,300",
,24,3,10,26.15,"1,099.40",19.05,65,765.90,"1,120.30",65,"22,150.00",65,100.05,104.00,65,-24.75,102.15,29.20,"3,440",-373,"1,043",
,37,-1,27,26.90,"1,064.40",112.90,65,"1,041.80","1,072.65",65,"22,200.00",390,108.00,108.95,260,-29.90,109.00,28.96,"29,915","1,013","5,079",
,15,-,2,21.58,976.25,-623.75,"1,755",652.60,-,-,"22,250.00","1,71,405",83.10,-,-,79.10,83.10,25.34,101,91,91,
,42,-6,44,25.16,965.70,77.20,65,951.10,"1,207.45",65,"22,300.00",65,120.95,124.20,455,-31.70,121.15,28.20,"30,050",701,"6,738",
,19,7,26,27.06,945.25,137.20,65,694.00,"1,233.60",65,"22,350.00",715,128.45,133.60,65,-36.85,128.45,27.87,"7,786",-479,"2,059",
,124,-7,302,25.38,887.95,88.85,65,853.00,894.75,130,"22,400.00",65,138.25,140.30,455,-33.05,140.30,27.91,"20,594",-406,"6,384",
,41,-6,19,25.21,847.30,56.45,"1,755",609.70,"1,016.00",65,"22,450.00",65,147.10,151.00,65,-32.60,149.60,27.66,"8,078",134,"2,093",
,"4,540",-119,"3,682",24.50,801.00,57.25,455,801.00,809.45,65,"22,500.00",260,158.00,159.00,"1,690",-37.70,158.00,27.30,"1,09,739","6,175","43,198",
,68,-10,97,24.65,765.20,45.30,65,736.10,781.70,65,"22,550.00",325,166.35,170.55,65,-41.00,170.80,27.24,"8,542",-247,"1,636",
,417,105,663,24.45,726.15,72.40,65,719.65,728.55,65,"22,600.00",65,178.60,180.35,65,-41.15,180.70,26.90,"42,500","5,038","11,594",
,146,7,119,24.13,686.25,70.10,65,664.25,707.95,65,"22,650.00",195,188.50,193.50,65,-46.75,188.50,26.35,"10,053","1,108","2,522",
,663,106,"1,237",24.08,650.60,55.40,65,642.75,651.30,65,"22,700.00",65,201.25,203.90,130,-45.55,204.05,26.33,"33,943","3,306","9,819",
,914,108,368,23.96,614.95,57.40,65,607.00,625.15,65,"22,750.00",65,213.20,218.05,260,-43.20,218.05,26.14,"9,502",589,"2,490",
,"2,077",313,"3,947",23.74,578.80,63.80,65,572.50,580.25,65,"22,800.00",975,230.00,231.00,"1,040",-46.85,231.00,25.82,"59,555",956,"15,211",
,400,47,980,23.30,540.40,43.90,130,538.80,545.85,65,"22,850.00",195,242.75,245.40,325,-48.95,242.75,25.36,"10,249",82,"2,164",
,"1,880",173,"4,795",24.23,522.65,69.35,130,504.80,519.75,195,"22,900.00",130,259.00,261.60,65,-54.60,261.90,25.36,"34,548",793,"8,837",
,"1,112",-64,"2,283",22.81,471.85,40.40,65,471.85,483.55,65,"22,950.00",130,275.65,278.95,65,-57.15,275.65,24.92,"15,264",655,"3,820",
,"29,395","-1,182","70,277",22.81,442.70,39.40,"1,170",440.05,441.60,65,"23,000.00",130,293.00,294.75,195,-58.85,293.35,24.69,"2,08,467","8,082","68,146",
,"1,862",500,"5,495",22.65,412.25,32.05,65,407.30,414.65,65,"23,050.00",130,312.75,316.15,260,-50.95,317.00,24.79,"21,153",687,"3,585",
,"9,021","1,785","42,371",22.20,378.55,28.05,975,378.85,381.15,455,"23,100.00",975,333.25,334.80,65,-56.35,334.75,24.44,"75,886","2,633","12,588",
,"3,349","1,212","14,401",22.23,353.15,27.40,"1,300",350.00,353.25,260,"23,150.00",975,354.40,355.70,195,-63.55,353.00,24.04,"25,318",888,"3,616",
,"25,804","8,199","1,26,440",22.00,325.05,26.15,910,325.25,326.70,195,"23,200.00",975,376.70,378.20,195,-61.25,376.95,23.96,"1,52,046","6,235","26,639",
,"4,437",-476,"34,724",21.59,295.30,18.75,195,295.50,300.15,195,"23,250.00",65,393.90,400.85,195,-58.35,400.50,23.77,"41,089",-519,"3,690",
,"19,136","2,664","1,27,095",21.50,271.65,20.10,65,272.50,274.90,"1,235","23,300.00",65,420.00,425.80,65,-71.10,420.95,23.31,"1,26,819","2,403","17,449",
,"3,742",221,"24,595",21.16,245.60,16.55,195,245.60,251.20,65,"23,350.00",65,440.00,453.70,65,-76.25,439.25,22.63,"12,521",287,"2,378",
,"13,784",-473,"62,831",21.13,225.20,13.75,130,225.30,229.10,65,"23,400.00",195,474.00,479.50,130,-67.30,478.00,23.24,"37,205",-856,"13,165",
,"1,996",-581,"13,978",20.92,203.50,13.60,260,203.25,207.00,65,"23,450.00",65,494.75,509.75,65,-80.60,507.00,23.12,"2,812",-217,"2,299",
,"55,842","9,619","1,71,365",20.81,184.55,12.40,65,184.45,186.30,65,"23,500.00",65,531.25,538.55,260,-82.05,538.60,23.11,"61,583","-1,385","32,977",
,"3,479",597,"13,551",20.68,166.45,16.30,65,165.60,169.95,65,"23,550.00",65,560.05,586.65,65,-86.45,570.65,23.05,"1,860",92,"2,350",
,"13,628",483,"49,891",20.58,150.00,10.25,65,150.15,151.95,65,"23,600.00",65,596.15,604.35,65,-88.30,597.75,22.56,"11,533",-431,"8,331",
,"3,641",158,"10,438",20.68,137.15,13.15,65,132.85,137.30,195,"23,650.00","1,040",630.05,638.00,130,-92.65,626.05,22.06,819,-107,"2,579",
,"14,199","1,313","49,165",20.33,119.75,8.55,65,120.35,121.95,65,"23,700.00",65,667.00,672.90,65,-87.75,674.55,23.01,"6,870",-438,"8,581",
,"4,709",250,"17,009",19.73,100.80,-1.65,65,105.00,108.40,715,"23,750.00",65,696.80,721.75,65,-75.70,710.55,22.96,783,-133,"2,111",
,"24,469","4,103","72,287",20.28,96.35,4.95,130,95.05,96.55,260,"23,800.00",65,740.00,749.60,65,-95.15,741.80,22.43,"11,064","-3,438","15,032",
,"4,906",56,"15,733",20.07,84.10,1.35,195,83.70,86.25,195,"23,850.00",65,747.25,793.10,195,-84.55,781.05,22.47,553,-61,"2,644",
,"16,933","1,653","56,157",20.17,76.00,5.30,390,75.20,76.20,65,"23,900.00",65,811.20,833.10,65,-88.40,827.15,23.07,"2,988",-335,"5,530",
,"3,432",-209,"14,316",20.17,67.65,3.65,65,66.10,68.00,195,"23,950.00",65,834.10,883.90,65,-53.35,877.35,24.00,103,-18,"1,010",
,"75,625","2,450","2,12,920",20.19,60.30,4.65,260,58.45,60.30,260,"24,000.00",195,901.00,909.00,65,-96.45,901.00,22.38,"22,362","-3,512","50,131",
,"3,463",61,"14,156",20.17,53.30,1.85,65,52.05,53.75,390,"24,050.00",845,922.05,"1,002.75",65,-67.00,955.00,23.64,85,4,768,
,"13,507","1,274","41,088",20.22,47.50,2.80,65,46.05,47.50,130,"24,100.00",65,976.70,"1,003.30",65,-109.85,998.45,23.81,"1,093",-352,"2,536",
,"2,660",508,"14,502",20.27,42.25,1.70,65,40.60,42.20,195,"24,150.00",65,"1,027.00","1,058.05",65,-141.35,"1,044.50",24.21,63,-11,"1,478",
,"16,707","1,421","62,746",20.26,37.10,0.80,195,36.60,37.45,325,"24,200.00",65,"1,074.00","1,096.85",65,-131.45,"1,080.70",23.45,"1,124",-214,"7,364",
,"2,450",-567,"12,344",20.40,33.45,0.45,"2,405",33.45,33.95,520,"24,250.00",65,"1,111.45","1,150.70",65,-86.10,"1,153.00",26.76,25,-,913,
,"14,620","1,099","51,643",20.43,29.45,-0.05,195,29.50,30.25,65,"24,300.00",65,"1,175.00","1,192.00",65,-113.80,"1,173.60",24.10,588,-230,"5,894",
,"2,379",368,"10,607",20.56,26.50,-0.60,195,26.25,27.25,195,"24,350.00",845,"1,187.85","1,243.15",65,-76.90,"1,230.00",25.67,56,-21,452,
,"10,744",-516,"36,127",20.93,25.00,-0.05,260,24.05,24.95,195,"24,400.00",65,"1,253.15","1,291.50",65,-101.45,"1,271.35",25.29,462,-171,"3,892",
,"3,218",351,"7,897",20.90,21.75,-1.15,195,21.75,22.70,195,"24,450.00",65,"1,240.50","1,685.20",65,-193.65,"1,260.00",-,25,-3,985,
,"57,125",824,"1,19,036",21.26,20.55,-0.05,65,20.55,20.80,195,"24,500.00",65,"1,366.00","1,368.35",130,-91.60,"1,367.00",26.13,"6,484","-1,376","24,717",
,"2,834",516,"8,931",21.47,18.80,-0.15,195,17.90,18.80,130,"24,550.00",65,"1,222.55","1,654.05",65,-128.10,"1,346.35",-,15,-,715,
,"12,575","1,027","33,021",21.57,16.80,-0.35,195,16.70,16.80,130,"24,600.00",65,"1,449.05","1,471.85",65,-64.80,"1,460.00",26.47,318,-67,"7,231",
,"2,014",185,"4,228",21.86,15.70,-0.15,130,15.05,15.95,195,"24,650.00",65,"1,456.90","1,533.85",65,-51.65,"1,502.20",25.82,17,-5,577,
,"12,166",25,"19,284",22.07,14.40,-0.30,65,14.00,14.40,65,"24,700.00",65,"1,549.90","1,578.05",65,-90.15,"1,566.50",28.87,558,-103,"14,010",
,"1,645",170,"3,060",22.35,13.45,-0.25,195,12.70,13.25,130,"24,750.00",65,"1,541.70","1,631.40",65,-119.50,"1,628.00",31.27,56,-31,655,
,"13,546",989,"23,714",22.43,12.00,-0.40,65,11.50,12.25,195,"24,800.00",65,"1,646.20","1,669.90",65,-98.00,"1,650.30",27.45,"1,424",-661,"6,509",
,"1,300",136,"3,051",22.84,11.60,-0.20,650,10.70,11.60,390,"24,850.00",65,"1,663.40","1,716.50",65,-142.10,"1,685.00",24.64,25,-9,494,
,"7,538",93,"13,600",22.83,10.10,-0.60,65,10.00,10.35,195,"24,900.00",65,"1,702.25","1,776.35",65,-102.70,"1,775.40",33.00,191,-63,"5,152",
,"1,359",100,"3,162",23.30,9.95,-0.30,195,9.00,9.85,910,"24,950.00",65,"1,492.25","1,817.45",195,-85.65,"1,863.65",38.83,14,-4,313,
,"69,813","2,854","69,030",23.41,8.95,-0.70,845,8.90,8.95,260,"25,000.00",65,"1,840.65","1,856.05",65,-107.10,"1,846.55",29.25,"7,255",37,"52,284",
,"1,597",482,"3,196",23.84,8.75,-0.30,195,8.05,8.60,650,"25,050.00",65,"1,624.35","1,913.30",130,-104.65,"1,897.00",29.98,27,-15,229,
,"5,169",-166,"9,984",23.96,7.90,-0.45,65,7.60,8.05,195,"25,100.00",65,"1,618.65","1,973.70",65,-121.35,"1,960.00",33.16,525,-401,"2,915",
,"1,299",-35,"2,245",24.11,7.20,-0.75,195,6.70,7.55,130,"25,150.00",65,"1,672.25","2,486.35","1,690",-81.45,"2,007.75",33.40,11,-4,390,
,"14,279","2,095","15,844",24.00,6.10,-1.40,65,6.00,8.00,"1,625","25,200.00",130,"2,032.40","2,066.20",65,-112.85,"2,045.00",31.39,421,-153,"14,279",
,"1,819",34,"1,534",24.60,6.30,-1.20,65,5.55,7.05,650,"25,250.00",65,"1,816.90","2,126.90",65,-179.90,"2,082.30",28.58,11,-,338,
,"8,440","1,184","10,750",25.25,6.60,-0.45,650,5.05,6.60,325,"25,300.00",65,"2,130.25","2,198.60",65,-95.25,"2,152.70",34.31,259,-115,"3,176",
,"1,751",87,"1,277",24.80,5.10,-1.75,195,4.85,6.90,"1,300","25,350.00",65,"1,895.65","2,226.90",65,6.35,"2,262.00",44.40,4,-2,316,
,"10,361",1,"9,686",25.27,5.10,-1.20,910,5.10,5.55,520,"25,400.00",65,"2,215.40","2,270.90",65,-91.05,"2,249.20",34.80,695,-447,"6,250",
,"2,000",210,"2,666",25.80,5.20,-1.25,650,4.85,5.40,650,"25,450.00",65,"2,006.30","2,310.25",195,-120.00,"2,260.00",-,14,5,"1,290",
,"46,847","1,421","35,652",25.71,4.45,-1.65,195,4.60,4.80,"1,885","25,500.00",65,"2,333.05","2,355.35",65,-121.90,"2,344.90",35.01,"1,157",-230,"19,753",
,"1,337",42,"1,817",26.24,4.55,-1.65,650,4.20,5.00,"1,300","25,550.00",65,"2,170.55","2,969.95","1,755",-138.15,"2,406.60",38.22,20,-7,535,
,"15,040","1,439","12,123",26.45,4.25,-1.30,195,3.80,4.25,975,"25,600.00",65,"2,406.05","2,462.70",65,-97.15,"2,453.45",38.17,225,-163,"8,936",
,"1,025",-36,607,26.56,3.85,-1.50,845,3.60,4.20,390,"25,650.00",65,"2,068.80","2,523.95",65,-125.25,"2,515.65",41.24,14,-9,426,
,"12,303","-1,346","14,508",26.62,3.45,-1.85,260,3.50,4.10,"1,690","25,700.00",65,"2,528.05","2,551.90",65,-141.95,"2,541.70",36.57,980,-585,"9,756",
,"1,363",-32,777,27.70,4.15,-1.05,845,3.35,3.95,650,"25,750.00",65,"2,161.55","2,627.85",780,-30.75,"2,590.00",36.69,24,-15,696,
,"19,802",139,"10,765",27.59,3.55,-1.15,390,3.35,3.55,390,"25,800.00",65,"2,630.95","2,657.75",65,-113.00,"2,639.55",37.14,164,-91,"14,241",
,818,-11,419,28.02,3.55,-1.40,390,3.00,3.50,195,"25,850.00",65,"2,286.45","3,321.55",910,-81.15,"2,681.15",35.02,18,-,448,
,"7,544",-266,"4,377",28.09,3.20,-1.40,195,2.95,3.25,"1,625","25,900.00",65,"2,720.45","2,764.10",65,-175.75,"2,704.25",-,60,-31,"5,385",
,"1,004",-60,497,28.29,3.00,-1.10,130,3.00,3.25,325,"25,950.00",780,"2,200.10","2,867.60","1,105",-,"2,223.65",-,-,-,187,
,"80,339","-4,193","38,757",28.71,3.00,-1.15,975,2.90,3.00,"8,580","26,000.00",65,"2,840.10","2,849.75",260,-119.40,"2,843.30",40.48,"2,002",-941,"53,148",
,883,84,373,28.89,2.80,-1.40,650,2.65,3.10,650,"26,050.00",780,"2,723.25","3,030.55",715,-210.60,"2,715.10",-,1,-,200,
,"6,169","1,636","14,400",28.92,2.50,-1.55,390,2.35,2.60,195,"26,100.00",65,"2,785.85","3,357.95",65,-174.45,"2,910.00",-,30,-25,"2,528",
,861,179,434,29.26,2.45,-1.30,"1,365",2.45,3.00,650,"26,150.00",65,"2,507.50","3,346.95",65,-47.40,"2,978.70",37.39,34,-12,262,
,"6,752",430,"5,107",29.53,2.35,-1.10,195,2.20,2.60,195,"26,200.00",780,"3,004.80","3,062.20",65,-192.60,"3,040.00",41.83,68,-53,"3,301",
,"1,223",372,"1,027",29.86,2.30,-1.35,585,2.30,3.00,650,"26,250.00",780,"2,642.15",-,-,-,"3,115.90",-,-,-,217,
,"8,155",-64,"3,838",29.95,2.10,-1.25,975,1.85,2.20,"1,560","26,300.00",65,"3,104.00","3,164.65",260,-171.05,"3,174.40",50.92,87,-59,"2,442",
,627,79,215,30.10,1.95,-1.55,650,1.80,3.10,650,"26,350.00",65,"2,999.90","3,223.15",65,-,"3,300.00",-,-,-,174,
,"3,687",-26,836,30.23,1.80,-1.40,650,1.85,2.60,195,"26,400.00",780,"3,195.30","3,274.60",780,-107.65,"3,176.35",-,14,-8,"1,698",
,570,-16,282,30.80,1.90,-0.80,"1,560",1.60,2.10,650,"26,450.00",780,"2,990.75",-,-,-,"3,360.50",-,-,-,68,
,"29,500",-180,"10,839",30.92,1.75,-1.05,650,1.75,1.80,"5,200","26,500.00",65,"3,327.45","3,344.90",65,-108.90,"3,348.20",47.50,739,-327,"12,905",
,741,42,428,31.84,2.05,-0.95,650,1.70,2.10,650,"26,550.00",780,"3,111.40","3,512.35",780,-,"2,887.40",-,-,-,11,
,"2,695",-8,971,31.97,1.90,-0.90,650,1.80,1.90,650,"26,600.00",780,"3,361.85","3,485.95",780,28.70,"3,490.75",57.54,8,-5,548,
,680,21,196,32.07,1.75,-0.90,65,1.75,2.25,650,"26,650.00",780,"3,003.95","3,577.45",780,6.45,"3,250.20",-,-,-,37,
,"2,980",-199,"1,213",32.15,1.60,-1.15,325,1.60,2.15,130,"26,700.00","1,755","3,058.60","3,581.30",780,-159.30,"3,541.70",47.92,133,-105,420,
,677,-12,83,32.52,1.60,-1.25,260,1.60,2.20,650,"26,750.00",780,"3,111.85","3,629.35",780,6.10,"3,339.45",-,-,-,13,
,"4,332",-9,"2,214",33.11,1.70,-0.90,650,1.70,1.80,"1,105","26,800.00","1,495","3,071.55","3,678.40",780,-83.10,"3,643.10",49.43,7,-3,415,
,590,-2,22,33.78,1.85,-0.70,"1,300",1.25,1.95,65,"26,850.00",975,"3,190.05","3,713.45",195,130.30,"3,516.00",-,4,-2,10,
,"1,293",115,659,34.35,1.95,-0.50,"1,560",1.25,1.90,195,"26,900.00",65,"3,723.80","3,773.35",65,463.35,"3,763.35",55.71,11,-3,61,
,583,78,231,33.80,1.50,-0.75,715,1.50,1.85,650,"26,950.00",780,"3,293.00","4,459.05",780,4.70,"3,009.10",-,-,-,17,
,"42,842","1,239","11,219",34.05,1.45,-0.90,"9,750",1.45,1.55,455,"27,000.00",65,"3,821.55","3,842.90",65,-73.15,"3,825.00",44.78,890,-454,"21,299",
,421,13,218,34.42,1.45,-1.15,65,1.35,1.80,650,"27,050.00",780,"3,313.65","3,992.90",780,3.80,"3,591.35",-,-,-,15,
,"3,977",-46,314,34.78,1.45,-1.15,650,1.45,1.60,325,"27,100.00",65,"3,774.15","3,973.05",260,-45.80,"3,955.15",56.01,9,-2,35,
,293,-2,157,35.03,1.40,-0.65,"1,560",1.15,1.85,650,"27,150.00",780,"3,350.45","4,567.25","1,105",-,"3,654.60",-,-,-,41,
,"5,451",-25,355,34.85,1.20,-1.00,520,1.25,1.60,"2,080","27,200.00",65,"3,853.10","4,055.30",130,-63.60,"4,042.25",53.53,1,-,253,
,476,-20,206,36.00,1.50,-0.60,260,1.30,1.45,65,"27,250.00",780,"3,451.70","4,129.35",910,8.45,"3,755.95",-,-,-,8,
,"4,513",-47,285,35.85,1.30,-0.95,"1,625",1.30,1.70,130,"27,300.00",780,"3,534.05","4,173.55",260,-,"4,100.00",-,-,-,171,
,368,-20,87,36.72,1.50,-0.35,"3,640",0.95,2.00,650,"27,350.00",780,"3,887.05","4,297.15",780,5.00,"3,899.55",-,-,-,8,
,"2,518",-2,236,35.82,1.05,-0.90,"1,755",1.00,1.35,195,"27,400.00","1,235","3,607.60","4,274.80","1,105",-,"4,185.00",-,-,-,83,
,535,-45,134,36.00,1.00,-1.05,"8,775",1.00,1.65,650,"27,450.00",780,"3,631.45","4,922.35",780,5.70,"3,503.70",-,-,-,7,
,"15,930",-253,"4,716",36.68,1.10,-0.35,"1,38,970",1.00,1.10,"9,815","27,500.00",130,"4,347.00","4,357.25",65,-76.90,"4,344.40",57.40,424,-59,"5,850",
,698,-12,612,37.34,1.20,-0.30,715,1.00,1.15,260,"27,550.00",780,"3,702.75","5,031.75",780,4.75,"3,603.25",-,-,-,9,
,920,-178,397,37.98,1.30,-0.20,"2,600",0.95,1.25,"1,105","27,600.00",780,"3,774.65","4,474.55",65,-,"4,350.00",-,-,-,46,
,642,-52,138,37.88,1.15,-0.60,"3,900",0.90,1.10,260,"27,650.00",780,"3,796.90","4,873.50",780,-,"3,950.00",-,-,-,9,
,"1,525",-142,620,37.17,0.85,-0.55,195,0.90,1.10,195,"27,700.00",65,"3,864.80","4,885.75","1,040",3.85,"4,469.85",-,1,-,113,
,287,-184,311,39.45,1.45,0.05,"2,600",0.90,1.20,195,"27,750.00",780,"3,878.35","5,257.05",780,4.75,"3,801.55",-,-,-,6,
,"1,557",-831,"1,460",38.23,0.95,-0.30,"1,560",0.85,1.00,"1,755","27,800.00",780,"3,922.05","4,751.70",780,-,"4,020.00",-,-,-,26,
,195,-98,207,38.18,0.85,-0.60,"1,690",0.85,1.00,65,"27,850.00",780,"3,993.90","4,866.95",780,4.75,"3,900.75",-,-,-,7,
,"1,118",-279,545,39.45,1.10,-0.15,260,0.90,1.05,195,"27,900.00",-,-,"5,270.05",780,-,"4,800.00",-,-,-,42,
,238,-76,105,39.06,0.90,-0.55,"6,110",0.90,0.95,"2,925","27,950.00",780,"4,624.85","5,317.80",780,268.95,"4,385.60",-,-,-,8,
,"20,384","-2,154","6,655",39.77,1.00,-0.15,"5,200",0.85,1.00,"6,175","28,000.00",65,"4,793.85","4,845.55",65,-140.45,"4,838.85",60.83,564,-415,"12,346",
,238,-193,356,39.73,0.90,-0.40,"1,625",0.95,1.10,650,"28,050.00",780,"4,709.90","5,099.35",780,274.60,"4,492.90",-,-,-,5,
,"2,081",-163,542,39.85,0.85,-0.25,"19,045",0.85,0.90,"16,640","28,100.00",780,"4,610.40","5,582.00",780,-,"4,366.15",-,-,-,126,
,"10,567",-75,636,45.20,0.75,-0.20,"6,500",0.70,0.75,910,"29,000.00",65,"5,831.10","5,861.70",65,-78.40,"5,850.00",74.60,338,-283,"5,480",
,"7,311",-223,799,51.34,0.75,-0.15,"15,665",0.65,0.75,260,"30,000.00",65,"6,830.05","6,841.00",65,-111.10,"6,838.95",80.63,271,-220,"6,266",
,"4,450",77,691,56.88,0.70,-0.10,390,0.65,0.70,"5,395","31,000.00",65,"7,808.85","7,861.40",65,-84.30,"7,835.55",88.64,72,-46,"2,694",
